Rate this appliacation,application complexity,readabilty ,screen layout,Easy of Navigation,Use of Colours,Menu bar,Font of the messages,Information displayed,Difficulty,Information effective,Navigate to back,Improvement needed,Straightforward implemention,Login problem,Login status,Application performance,Browsing issues,Response time,Order of pages,Easy of Terminology,Additional content,Question design,Student navigation,Crystal reports
8,7,8,9,9,7,9,9,8,8,8,7,8,9,9,8,9,5,9,9,8,8,9,6,6
8,6,9,7,8,5,8,7,8,7,7,8,7,8,8,7,8,5,9,9,9,8,7,5,6
8,8,7,7,8,7,8,7,8,8,8,8,6,3,8,9,8,8,7,8,9,8,9,8,9
9,9,9,8,9,6,9,7,9,9,9,9,7,9,9,9,9,9,9,8,8,9,9,9,8
8,6,6,7,8,5,6,7,7,6,7,7,7,7,7,6,7,8,6,7,6,6,8,8,7
9,8,8,7,8,6,8,8,9,9,8,8,9,9,9,8,8,8,8,8,7,8,8,7,8
9,8,8,8,9,9,8,9,9,9,8,9,8,8,9,9,8,9,9,9,9,9,9,9,8
8,8,8,9,9,7,8,8,9,8,9,9,8,5,8,9,9,9,8,7,8,7,8,6,9
7,6,6,7,6,7,7,7,7,6,6,7,7,6,7,7,7,7,7,7,7,5,7,7,7
8,8,7,8,7,6,7,8,8,8,8,8,7,8,8,8,8,6,8,8,7,6,7,7,7
9,9,9,8,8,8,8,8,8,8,9,9,7,8,9,9,8,8,8,9,9,5,8,4,9
8,2,7,7,8,6,5,4,7,7,8,8,7,7,7,7,8,2,7,7,6,7,8,8,7
8,8,8,8,7,8,8,8,7,8,7,8,8,8,8,8,8,1,9,8,9,8,8,9,8
8,8,7,8,9,8,7,7,8,9,7,8,6,7,9,9,7,7,9,9,9,7,7,8,9
8,7,8,8,8,7,6,8,8,9,8,8,7,7,9,9,8,2,8,8,8,7,9,9,9
8,8,8,8,8,8,9,9,9,9,9,9,8,8,8,8,8,3,8,7,7,7,7,7,7
